item_id,task,context,context_without_dialog_prefix,dialog_prefix,dialog,true_intention,incorrect_literal_intention,original_prompt_str,person1,person2,options_dict,intention_pronoun,turn1_true_intention_dialog,turn1_literal_intention_dialog,turn2_response_from_literal_intention,turn2_response_from_true_intention,,
1,indirectspeech,"Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, ",Paul has to go to an interview and he's running late. He's cleaning his shoes.  ,"He says to his wife, Jane,  "," ""I want to wear that blue shirt, but it's very creased"". ",He wants his wife to iron his shirt.,He is unhappy that his shirt is wrinkled. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
Options:
1) He wants his wife to iron his shirt.
2) He is unhappy that his shirt is wrinkled.
3) He got this shirt on sale.
4) He got his shoes on sale.
Answer: ",Paul,Jane,"{""'CorrectNonLiteral'"": 'He wants his wife to iron his shirt.', ""'IncorrectLiteral'"": 'He is unhappy that his shirt is wrinkled.', ""'IncorrectLexicalOverlap'"": 'He got this shirt on sale.', ""'IncorrectAssociative'"": 'He got his shoes on sale.'}",he,"""Could you please iron my shirt, dear?""","""I'm really not pleased with how wrinkled my shirt is.""","I understand, Paul, you are unhappy with the wrinkles in your shirt.","""Sure, I'll iron your shirt now, Paul.""",,
2,indirectspeech,"Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ","Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. ","Her dad said to her, ","""I am not sure that now is the best time for painting."" ",Her dad does not want Cindy to start painting. ,Her dad has some doubts whether Cindy should be painting. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
Options:
1) He wants Cindy to paint a picture for the meeting.
2) He does not want Cindy to start painting. 
3) He has some doubts whether Cindy should be painting.
4) He wants Cindy to create a sculpture.
Answer: ",Her father,Cindy,"{""'IncorrectLexicalOverlap'"": 'He wants Cindy to paint a picture for the meeting.', ""'CorrectNonLiteral'"": 'He does not want Cindy to start painting. ', ""'IncorrectLiteral'"": 'He has some doubts whether Cindy should be painting.', ""'IncorrectAssociative'"": 'He wants Cindy to create a sculpture.'}",he,"""I don't want you to start painting.""","""I have some doubts about whether you should be painting.""","I understand your concerns, Dad, but I really enjoy painting.","""Okay Dad, I won't start painting now.""",,
3,indirectspeech,"Cindy asked her mom to take her to the movies. Her mom responds,",Cindy asked her mom to take her to the movies. ,"Her mom responds,"," ""Your little brother's toys are all over the house. I don't have time to clean up."" ",Her mom hopes Cindy might help her clean up the house.,Her mom thinks Cindy's brother creates a lot of mess. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
Options:
1) Cindy's brother creates a lot of mess.
2) Cindy might help her clean up the house.
3) Cindy forgot to purchase a new toy for her brother.
4) Cindy forgot to invite her brother to the movies.
Answer: ",Her mother,Cindy,"{""'IncorrectLiteral'"": ""Cindy's brother creates a lot of mess."", ""'CorrectNonLiteral'"": 'Cindy might help her clean up the house.', ""'IncorrectLexicalOverlap'"": 'Cindy forgot to purchase a new toy for her brother.', ""'IncorrectAssociative'"": 'Cindy forgot to invite her brother to the movies.'}",Cindy,"""I hope you could lend me a hand in cleaning up the house.""","""Your brother creates such a mess, doesn't he?""","Yes, mom, he certainly does create a lot of mess.","""Sure mom, I will help you clean up the house before we go to the movies.""",,
4,indirectspeech,"Matt was telling Cindy about a scary movie that he saw. Cindy was listening to him for a while and then responded, ",Matt was telling Cindy about a scary movie that he saw. Cindy was listening to him for a while. ,"Cindy then responded, ","""Oh, have you tried the new Italian place downtown? I heard their pasta is exceptional!""",Cindy wants to divert the conversation away from the scary movie topic.,She wonders whether Matt knows any other interesting stories.,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Matt was telling Cindy about a scary movie that he saw. Cindy was listening to him for a while and then responded, ""Can we talk about something else?"" What might she be trying to convey?
Options:
1) She wonders whether Matt knows something else interesting that he can share with her.
2) She wishes to have a date with Matt.
3) She wishes that he stopped telling her about the movie.
4) She wishes to build a kite with Matt.
Answer: ",Cindy,Matt,"{""'IncorrectLiteral'"": 'She wonders whether Matt knows something else interesting that he can share with her.', ""'IncorrectLexicalOverlap'"": 'She wishes to have a date with Matt.', ""'CorrectNonLiteral'"": 'She wishes that he stopped telling her about the movie.', ""'IncorrectAssociative'"": 'She wishes to build a kite with Matt.'}",she," ""Can we talk about something else?"" ","""Do you know any other interesting stories?""","""Yes, I do know other interesting stories.""","""Sure, Cindy, what topic would you like to discuss?""",,
5,indirectspeech,"Cindy and Matt had been good friends for a long time. Recently Cindy started teasing Matt a lot every day. He got mad and said,",Cindy and Matt had been good friends for a long time. Recently Cindy started teasing Matt a lot every day. He got mad. ,"He said,"," ""My friends do not say hurtful things to me."" ",Cindy should stop teasing him if she wants to be his friend.,Matt wants to say his friends are very friendly. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Cindy and Matt had been good friends for a long time. Recently Cindy started teasing Matt a lot every day. He got mad and said, ""My friends do not say hurtful things to me."" What might he be trying to convey?
Options:
1) Cindy should stop teasing him if she wants to be his friend.
2) His friends are very friendly.
3) Cindy should meet Matt's other friends.
4) Cindy should meet a new principal.  
Answer: ",Matt,Cindy,"{""'CorrectNonLiteral'"": 'Cindy should stop teasing him if she wants to be his friend.', ""'IncorrectLiteral'"": 'His friends are very friendly.', ""'IncorrectLexicalOverlap'"": ""Cindy should meet Matt's other friends."", ""'IncorrectAssociative'"": 'Cindy should meet a new principal.  '}",Cindy,"""If you want to be my friend, you need to stop teasing me.""","""My friends are incredibly friendly.""","That's great to hear, Matt.","""Alright Matt, I understand and I will stop teasing you.""",,
6,indirectspeech,The boys were playing around. Dan accidentally tripped Scott. Scott got very angry about falling. Dan said:,The boys were playing around. Dan accidentally tripped Scott. Scott got very angry about falling. ,Dan said:," ""Everybody's being wild."" ",Dan thinks it was not his fault.,Dan thinks all of the boys were not very cautious. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: The boys were playing around. Dan accidentally tripped Scott. Scott got very angry about falling. Dan said: ""Everybody's being wild."" What might he be trying to convey?
Options:
1) All of the boys were not very cautious.
2) He likes to live in the city. 
3) He likes to live in the wilderness.
4) It was not his fault.
Answer: ",Dan,Scott,"{""'IncorrectLiteral'"": 'All of the boys were not very cautious.', ""'IncorrectAssociative'"": 'He likes to live in the city. ', ""'IncorrectLexicalOverlap'"": 'He likes to live in the wilderness.', ""'CorrectNonLiteral'"": 'It was not his fault.'}",he,"""It wasn't my fault.""","""Scott, in my opinion, all of the boys lacked caution.""","I understand, Dan, you believe all the boys behaved recklessly.","""You should be more careful, Dan.""",,
7,indirectspeech,"Kate brought some cookies to school. Matt has a sweet tooth. He says,",Kate brought some cookies to school. Matt has a sweet tooth. ,"He says,"," ""Your cookies smell delicious. They must be really tasty."" ",He wants Kate to give him some cookies.,He thinks Kate is a great baker who makes good cookies. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Kate brought some cookies to school. Matt has a sweet tooth. He says, ""Your cookies smell delicious. They must be really tasty."" What might he be trying to convey?
Options:
1) He wants to learn how to make a roast beef.
2) She is a great baker who makes good cookies.
3) He wants to learn how to make these cookies.
4) He wants Kate to give him some cookies.
Answer: ",Matt,Kate,"{""'IncorrectAssociative'"": 'He wants to learn how to make a roast beef.', ""'IncorrectLiteral'"": 'She is a great baker who makes good cookies.', ""'IncorrectLexicalOverlap'"": 'He wants to learn how to make these cookies.', ""'CorrectNonLiteral'"": 'He wants Kate to give him some cookies.'}",he,"""Could you please pass me some cookies?""","""You're a fantastic baker and you make wonderful cookies.""","""Thank you, I'm glad you enjoy my baking.""","""Sure, Matt, here are some cookies.""",,
8,indirectspeech,"The teacher said that she was feeling sick today and asked the kids to work in groups quietly. Matt kept talking loudly with his friends. The teacher said,",The teacher said that she was feeling sick today and asked the kids to work in groups quietly. Matt kept talking loudly with his friends. ,"The teacher said,"," ""Matt, I think you are being unfair to me now."" ",She wants Matt to lower his voice.,She wants to tell Matt that he being is unfair to her. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: The teacher said that she was feeling sick today and asked the kids to work in groups quietly. Matt kept talking loudly with his friends. The teacher said, ""Matt, I think you are being unfair to me now."" What might she be trying to convey?
Options:
1) Matt is unfair to the teacher.
2) She wants him to stop talking.
3) She wants kids to work on a project about fairness.
4) She wants kids to work on a project about dinosaurs.
Answer: ",The teacher,Matt,"{""'IncorrectLiteral'"": 'Matt is unfair to the teacher.', ""'CorrectNonLiteral'"": 'She wants him to stop talking.', ""'IncorrectLexicalOverlap'"": 'She wants kids to work on a project about fairness.', ""'IncorrectAssociative'"": 'She wants kids to work on a project about dinosaurs.'}",she,"""Could you please lower your voice?""","""You are not treating me fairly.""","I apologize, I didn't realize my actions were unfair to you.","""Okay, I'll speak more quietly.""",,
9,indirectspeech,"Cindy was having a slumber party with two of her friends. It was very late, but they kept talking and laughing. Her dad came in and said,","Cindy was having a slumber party with two of her friends. It was very late, but they kept talking and laughing. Her dad came in.","He said,","""I would like to go to bed."" ",He wants the girls to be quiet.,He wants to tell the girls that he wants to go to bed.,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Cindy was having a slumber party with two of her friends. It was very late, but they kept talking and laughing. Her dad came in and said, ""I would like to go to bed but it is too loud in here."" What might he be trying to convey?
Options:
1) He wants the girls to go shopping.
2) He is too tired and the girls are making a lot of noise.
3) He wants the girls to listen to some music.
4) He wants the girls to be quiet.
Answer: ",Her dad,Cindy,"{""'IncorrectAssociative'"": 'He wants the girls to go shopping.', ""'IncorrectLiteral'"": 'He is too tired and the girls are making a lot of noise.', ""'IncorrectLexicalOverlap'"": 'He wants the girls to listen to some music.', ""'CorrectNonLiteral'"": 'He wants the girls to be quiet.'}",he,"""I want you and the other girls to keep it down.""","""I'm really tired, girls. I think I'll head off to bed now.""","Okay, Dad. Good night!","""Okay, Dad, we will keep our voices down.""",,
10,indirectspeech,"Chad and Matt were walking. The sidewalk was being fixed and there was lots of shattered glass on the sidewalk. Matt was not paying attention to the sidewalk. Chad said,",Chad and Matt were walking. The sidewalk was being fixed and there was lots of shattered glass on the sidewalk. Matt was not paying attention to the sidewalk. ,"Chad said,"," ""I guess you like walking on shattered glass."" ",Matt should look around where he is walking. ,Chad thinks walking on shattered glass is something that Matt enjoys. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Chad and Matt were walking. The sidewalk was being fixed and there was lots of shattered glass on the sidewalk. Matt was not paying attention to the sidewalk. Chad said, ""I guess you like walking on shattered glass."" What might he be trying to convey?
Options:
1) Matt should buy new shoes.
2) Matt should look around where he is walking. 
3) Walking on shattered glass is something that Matt enjoys.
4) Matt should get a new pet.
Answer: ",Chad,Matt,"{""'IncorrectLexicalOverlap'"": 'Matt should buy new shoes.', ""'CorrectNonLiteral'"": 'Matt should look around where he is walking. ', ""'IncorrectLiteral'"": 'Walking on shattered glass is something that Matt enjoys.', ""'IncorrectAssociative'"": 'Matt should get a new pet.'}",Matt,"""Hey, be mindful of your surroundings when you're walking.""","""Believe it or not, I think you have walking on shattered glass makes you very happy.""","Yes Chad, I find strange satisfaction in that.","""Okay Chad, I'll pay more attention to where I'm walking.""",,
